observation_date,EXINUS
1973,7.6585
1974,8.0324
1975,8.4098
1976,8.9713
1977,8.7672
1978,8.1956
1979,8.1573
1980,7.8855
1981,8.6798
1982,9.4827
1983,10.1059
1984,11.3548
1985,12.3398
1986,12.5986
1987,12.9478
1988,13.9028
1989,16.2071
1990,17.5021
1991,22.7199
1992,28.1351
1993,31.2569
1994,31.3944
1995,32.4324
1996,35.5164
1997,36.3645
1998,41.3294
1999,43.1212
2000,45.0009
2001,47.2276
2002,48.622
2003,46.5947
2004,45.2763
2005,44.0113
2006,45.1722
2007,41.1992
2008,43.4114
2009,48.3195
2010,45.6509
2011,46.6122
2012,53.3591
2013,58.5255
2014,61.0174
2015,64.1029
2016,67.1668
2017,65.1015
2018,68.4018
2019,70.4041
2020,74.1103
2021,73.9267
2022,78.5766
2023,82.5728
,
