Country,Gini Coeffieicent
Costa Rica,0.47
Chile,0.45
Mexico,0.42
Turkey,0.4
United States,0.4
Bulgaria,0.38
Lithuania,0.37
United Kingdom,0.35
Israel,0.34
Latvia,0.34
Italy,0.33
Japan,0.33
South Korea,0.33
Estonia,0.32
New Zealand,0.32
Spain,0.32
Switzerland,0.32
Australia,0.32
Greece,0.31
Portugal,0.31
France,0.3
Germany,0.3
Netherlands,0.3
Canada,0.29
Ireland,0.29
Sweden,0.29
Croatia,0.29
Austria,0.28
Hungary,0.28
Luxembourg,0.28
Norway,0.28
Denmark,0.27
Finland,0.27
Belgium,0.26
Czechia,0.26
Iceland,0.26
Poland,0.26
Slovenia,0.24
Slovakia,0.22
