States,Women (age 15-49)  with 10 or more years of schooling (%),Population living in households that use an improved sanitation facility2 (%),Under-five mortality rate (per 1000 live births),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Population (in mil)
Andaman & Nicobar Islands,52.5,88,24.5,0.3,22.5,16,23.7,0.381
Andhra Pradesh,39.6,77.3,35.2,75.5,31.2,16.1,29.6,49.577
Arunachal Pradesh,39.4,82.9,18.8,32,28,13.1,15.4,1.384
Assam,29.6,68.6,39.1,45.4,35.3,21.7,32.8,31.206
Bihar,28.8,49.4,56.4,3.4,42.9,22.9,41,104.099
Chandigarh,59.6,85,0.1,-84.9,25.3,8.4,20.6,1.055
Chhattisgarh,36.9,76.8,50.4,50.4,34.6,18.9,31.3,25.545
Dadra and Nagar Haveli & Daman and Diu,35.8,65.8,37,3.7,39.4,21.6,38.7,0.585
Goa,71.5,87.9,10.6,6.3,25.8,19.1,24,1.459
Gujarat,33.8,74,37.6,2.2,39,25.1,39.7,60.44
Haryana,49.5,85,38.7,79.8,27.5,11.5,21.5,25.351
Himachal Pradesh,65.9,81.8,28.9,87.9,30.8,17.4,25.5,6.865
Jammu & Kashmir,51.3,75.7,18.5,5.3,26.9,19,21,12.541
Jharkhand,33.2,56.7,45.4,74.6,39.6,22.4,39.4,32.988
Karnataka,50.2,74.8,29.5,5.9,35.4,19.5,32.9,61.095
Kerala,77,98.7,5.2,9.5,23.4,15.8,19.7,33.406
Ladakh,50,42.3,29.5,10.6,30.5,17.5,20.4,0.247
Lakshadweep,67.8,99.8,0.1,12.7,32,17.4,25.8,0.064
Madhya Pradesh,29.3,65.1,49.2,70.9,35.7,19,33,72.627
Maharastra,50.4,72,28,8.2,35.2,25.6,36.1,112.374
Manipur,48.1,64.9,30,6.8,23.4,9.9,13.3,2.856
Meghalaya,35.1,82.9,40,4.1,46.5,12.1,26.6,2.967
Mizoram,50,95.3,24,7.2,28.9,9.8,12.7,1.097
Nagaland,44.4,87.7,33,6.5,32.7,19.1,26.9,1.979
NCT of Delhi,59.7,81.1,30.6,26.6,30.9,11.2,21.8,16.788
Odisha,33,60.5,41.1,88.1,31,18.1,29.7,41.974
Puducherry,65.4,84.9,3.9,8,20,12.4,15.3,1.248
Punjab,56,86.6,32.7,65.9,24.5,10.6,16.9,27.743
Rajasthan,33.4,71.1,37.6,61.6,31.8,16.8,27.6,68.548
Sikkim,49,87.3,11.2,0,22.3,13.7,13.1,0.611
Tamil Nadu,56.6,72.6,22.3,66.4,25,14.6,22,72.147
Telangana,45.5,76.2,29.4,5.3,33.1,21.7,31.8,35.002
Tripura,23.2,73.6,43.3,59.6,32.3,18.2,25.6,3.674
Uttar Pradesh,39.3,68.8,59.8,49.1,39.7,17.3,32.1,199.812
Uttarakhand,50.4,78.8,45.6,32.3,27,13.2,21,10.086
West Bengal,32.9,68,25.4,1.8,33.8,20.3,32.2,91.276
