date,series,value
1991,mlfpr,0.789
1992,mlfpr,0.788
1993,mlfpr,0.787
1994,mlfpr,0.786
1995,mlfpr,0.792
1996,mlfpr,0.799
1997,mlfpr,0.805
1998,mlfpr,0.811
1999,mlfpr,0.817
2000,mlfpr,0.823
2001,mlfpr,0.814
2002,mlfpr,0.805
2003,mlfpr,0.796
2004,mlfpr,0.787
2005,mlfpr,0.778
2006,mlfpr,0.781
2007,mlfpr,0.784
2008,mlfpr,0.787
2009,mlfpr,0.79
2010,mlfpr,0.793
2011,mlfpr,0.788
2012,mlfpr,0.784
2013,mlfpr,0.78
2014,mlfpr,0.776
2015,mlfpr,0.771
2016,mlfpr,0.765
2017,mlfpr,0.759
2018,mlfpr,0.753
2019,mlfpr,0.747
2020,mlfpr,0.736
2021,mlfpr,0.742
2022,mlfpr,0.754
2023,mlfpr,0.768
1991,wlfpr,0.278
1992,wlfpr,0.279
1993,wlfpr,0.28
1994,wlfpr,0.281
1995,wlfpr,0.285
1996,wlfpr,0.289
1997,wlfpr,0.293
1998,wlfpr,0.297
1999,wlfpr,0.301
2000,wlfpr,0.305
2001,wlfpr,0.304
2002,wlfpr,0.303
2003,wlfpr,0.303
2004,wlfpr,0.302
2005,wlfpr,0.301
2006,wlfpr,0.299
2007,wlfpr,0.296
2008,wlfpr,0.293
2009,wlfpr,0.29
2010,wlfpr,0.279
2011,wlfpr,0.271
2012,wlfpr,0.271
2013,wlfpr,0.269
2014,wlfpr,0.27
2015,wlfpr,0.27
2016,wlfpr,0.269
2017,wlfpr,0.268
2018,wlfpr,0.266
2019,wlfpr,0.265
2020,wlfpr,0.259
2021,wlfpr,0.267
2022,wlfpr,0.28
2023,wlfpr,0.327
